,Date,Market price,Stock price,T,Theoretical price,Error rate
0,2022-07-01,107.8,8.5,1.463013698630137,98.43236258475956,8.69
1,2022-07-05,107.3,8.52,1.452054794520548,98.44401335110271,8.25
2,2022-07-06,107.75,8.43,1.4493150684931506,98.44692625815425,8.63
3,2022-07-07,107.7,8.51,1.4465753424657535,98.4498392513972,8.59
4,2022-07-11,107.6,8.45,1.4356164383561645,98.46149208633399,8.49
5,2022-07-12,105.9,8.2,1.4328767123287671,98.46440551057219,7.02
6,2022-07-13,105.9,8.43,1.4301369863013698,98.4673190210171,7.02
7,2022-07-14,105.9,8.49,1.4273972602739726,98.47023261767129,7.02
8,2022-07-15,105.7,8.33,1.4246575342465753,98.47314630053725,6.84
9,2022-07-18,105.7,8.47,1.4164383561643836,98.48188786643152,6.83
10,2022-07-19,105.85,8.52,1.4136986301369863,98.48480189417023,6.96
11,2022-07-20,106.0,8.46,1.4109589041095891,98.4877160081335,7.09
12,2022-07-21,105.85,8.46,1.4082191780821918,98.4906302083239,6.95
13,2022-07-22,105.5,8.47,1.4054794520547946,98.49354449474394,6.64
14,2022-07-25,105.75,8.49,1.3972602739726028,98.50228787140762,6.85
15,2022-07-26,105.8,8.52,1.3945205479452054,98.50520250277184,6.89
16,2022-07-27,105.85,8.42,1.3917808219178083,98.5081172203785,6.94
17,2022-07-28,105.9,8.51,1.389041095890411,98.51103202423012,6.98
18,2022-07-29,105.5,8.55,1.3863013698630138,98.51394691432927,6.62
